Year,Product Name,Sales
2015,Cisco TelePresence System EX90 Videoconferencing Unit,22638.48
2015,Lexmark MX611dhe Monochrome Laser Printer,11219.934000000001
2015,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",9624.945
2015,Ibico EPK-21 Electric Binding System,9449.95
2015,High Speed Automatic Electric Letter Opener,8187.65
2015,GBC DocuBind TL300 Electric Binding System,5740.736
2015,Global Deluxe High-Back Manager's Chair,5633.8060000000005
2015,Tennsco 6- and 18-Compartment Lockers,5568.57
2015,GBC DocuBind P400 Electric Binding System,5443.96
2015,Apple iPhone 5,5328.606000000001
2015,Bretford Rectangular Conference Table Tops,5190.594
2015,DMI Eclipse Executive Suite Bookcases,4809.408
2015,HON 5400 Series Task Chairs for Big and Tall,4766.664
2015,SAFCO Arco Folding Chair,4695.4
2015,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,4211.76
2015,Martin Yale Chadless Opener Electric Letter Opener,4164.05
2015,Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,3991.98
2015,Smead Adjustable Mobile File Trolley with Lockable Top,3772.71
2015,Ibico Ibimaster 300 Manual Binding System,3716.699
2015,Apple iPhone 5S,3647.936
2015,Global Commerce Series High-Back Swivel/Tilt Chairs,3590.748
2015,Samsung Galaxy S4 Active,3499.93
2015,"Bevis Oval Conference Table, Walnut",2975.172
2015,GuestStacker Chair with Chrome Finish Legs,2974.08
2015,Chromcraft Rectangular Conference Tables,2914.7309999999998
2015,Ativa V4110MDD Micro-Cut Shredder,2799.96
2015,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",2794.8
2015,Fellowes PB300 Plastic Comb Binding Machine,2715.93
2015,Motorola Droid Maxx,2609.826
2015,Hon 94000 Series Round Tables,2606.384
2015,Xerox WorkCentre 6505DN Laser Multifunction Printer,2519.958
2015,Global Leather Executive Chair,2421.831
2015,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",2415.402
2015,"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",2244.48
2015,Hon Olson Stacker Stools,2238.879
2015,Tennsco Single-Tier Lockers,2176.972
2015,Hon Multipurpose Stacking Arm Chairs,2122.6800000000003
2015,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,2104.55
2015,Wireless Extenders zBoost YX545 SOHO Signal Booster,2078.8900000000003
2015,Bevis 44 x 96 Conference Tables,2059.0
2015,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,2033.584
2015,Hewlett Packard 610 Color Digital Copier / Printer,1999.96
2015,ClearOne CHATAttach 160 - speaker phone,1983.968
2015,Polycom VVX 310 VoIP phone,1943.8919999999998
2015,Cisco Unified IP Phone 7945G VoIP phone,1909.5439999999999
2015,DMI Arturo Collection Mission-style Design Wood Chair,1902.348
2015,Space Solutions HD Industrial Steel Shelving.,1885.508
2015,Hon Every-Day Series Multi-Task Chairs,1879.8
2015,KI Adjustable-Height Table,1865.766
2015,Hon Pagoda Stacking Chairs,1861.6840000000002
2015,Hon GuestStacker Chair,1858.694
2015,Plantronics HL10 Handset Lifter,1855.84
2015,High-Back Leather Manager's Chair,1819.86
2015,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",1811.5929999999998
2015,"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",1803.839
2015,Canon PC1080F Personal Copier,1799.97
2015,Hewlett Packard LaserJet 3310 Copier,1799.97
2015,Hon 2111 Invitation Series Corner Table,1758.708
2015,Hoover Upright Vacuum With Dirt Cup,1737.18
2015,"Dual Level, Single-Width Filing Carts",1705.6599999999999
2015,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",1688.232
2015,Plantronics Savi W720 Multi-Device Wireless Headset System,1687.8
2015,Samsung Galaxy Mega 6.3,1679.96
2015,Sauder Inglewood Library Bookcases,1658.506
2015,"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",1652.94
2015,"Lifetime Advantage Folding Chairs, 4/Carton",1635.6
2015,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,1628.82
2015,Samsung Galaxy S III - 16GB - pebble blue (T-Mobile),1609.9540000000002
2015,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",1573.488
2015,"Hot File 7-Pocket, Floor Stand",1570.536
2015,Economy Rollaway Files,1552.88
2015,O'Sullivan Living Dimensions 5-Shelf Bookcases,1538.0208
2015,NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router,1503.906
2015,Samsung Galaxy S4,1502.376
2015,Polycom SoundPoint Pro SE-225 Corded phone,1499.274
2015,O'Sullivan Living Dimensions 2-Shelf Bookcases,1494.103
2015,Fellowes Super Stor/Drawer Files,1453.95
2015,"SAFCO Commercial Wire Shelving, Black",1436.656
2015,AT&T TR1909W,1436.286
2015,Wilson Electronics DB Pro Signal Booster,1432.0
2015,Ibico Hi-Tech Manual Binding System,1402.954
2015,StarTech.com 10/100 VDSL2 Ethernet Extender Kit,1398.39
2015,Hewlett-Packard Deskjet 6540 Color Inkjet Printer,1396.21
2015,Avaya IP Phone 1140E VoIP phone,1394.95
2015,Panasonic KX-TG9471B,1371.93
2015,Samsung Galaxy Note 3,1363.938
2015,Panasonic KX-TG9541B DECT 6.0 Digital 2-Line Expandable Cordless Phone With Digital Answering System,1349.91
2015,Pyle PMP37LED,1305.464
2015,"3D Systems Cube Printer, 2nd Generation, White",1299.99
2015,"Bevis Round Bullnose 29"" High Table Top",1298.55
2015,"Hon 30"" x 60"" Table with Locking Drawer",1296.028
2015,Swingline SM12-08 MicroCut Jam Free Shredder,1279.968
2015,"Hon Deluxe Fabric Upholstered Stacking Chairs, Squared Back",1268.696
2015,Standard Rollaway File with Lock,1261.33
2015,Cisco IP Phone 7961G VoIP phone - Dark gray,1250.74
2015,Novimex Swivel Fabric Task Chair,1238.036
2015,Ooma Telo VoIP Home Phone System,1234.702
2015,Hon 5100 Series Wood Tables,1222.116
2015,Bretford CR4500 Series Slim Rectangular Table,1218.735
2015,"SAFCO PlanMaster Boards, 60w x 37-1/2d, White Melamine",1215.92
2015,Polycom SoundStation2 EX Conference phone,1214.85
2015,Sharp 1540cs Digital Laser Copier,1209.978
2015,Bretford CR8500 Series Meeting Room Furniture,1202.94
2015,Sharp AL-1530CS Digital Copier,1199.976
2015,Brother DCP1000 Digital 3 in 1 Multifunction Machine,1199.96
2015,Konftel 250 Conference phone - Charcoal black,1196.244
2015,Global Comet Stacking Armless Chair,1196.2
2015,GBC DocuBind 200 Manual Binding Machine,1178.744
2015,Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,1170.89
2015,Toshiba IPT2010-SD IP Telephone,1167.516
2015,GBC DocuBind 300 Electric Binding Machine,1157.156
2015,Wilson SignalBoost 841262 DB PRO Amplifier Kit,1151.84
2015,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024
2015,Razer Kraken 7.1 Surround Sound Over Ear USB Gaming Headset,1099.8899999999999
2015,Hoover WindTunnel Plus Canister Vacuum,1089.75
2015,Tennsco Double-Tier Lockers,1080.096
2015,Canon PC940 Copier,1079.976
2015,Cisco 8x8 Inc. 6753i IP Business Phone System,1079.92
2015,Balt Solid Wood Round Tables,1071.576
2015,Jabra SPEAK 410,1071.4859999999999
2015,Xerox 1941,1069.47
2015,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,1067.94
2015,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",1065.426
2015,"Lesro Round Back Collection Coffee Table, End Table",1058.79
2015,GE 30524EE4,1019.148
2015,Mophie Juice Pack Helium for iPhone,1007.874
2015,"Global Wood Trimmed Manager's Task Chair, Khaki",991.682
2015,Carina Double Wide Media Storage Towers in Natural & Black,971.76
2015,Global Italian Leather Office Chair,969.252
2015,Fellowes Stor/Drawer Steel Plus Storage Drawers,954.3000000000001
2015,Safco Contoured Stacking Chairs,953.5999999999999
2015,Hon Racetrack Conference Tables,945.036
2015,Jawbone MINI JAMBOX Wireless Bluetooth Speaker,931.4639999999999
2015,"SAFCO Commercial Wire Shelving, 72h",918.6
2015,Microsoft Natural Keyboard Elite,910.176
2015,Mitel 5320 IP Phone VoIP phone,907.152
2015,"Global Leather and Oak Executive Chair, Black",902.94
2015,Bush Advantage Collection Racetrack Conference Table,890.841
2015,Compact Automatic Electric Letter Opener,882.894
2015,Adtran 1202752G1,881.93
2015,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",864.69
2015,Logitech Wireless Gaming Headset G930,863.946
2015,Logitech Wireless Performance Mouse MX for PC and Mac,859.914
2015,"Hon Metal Bookcases, Gray",851.76
2015,"Bevis Round Conference Table Top, X-Base",842.663
2015,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",821.88
2015,GBC ProClick Punch Binding System,818.944
2015,"Global Push Button Manager's Chair, Indigo",815.926
2015,Logitech Gaming G510s - Keyboard,815.904
2015,Fellowes Officeware Wire Shelving,808.47
2015,BlackBerry Q10,806.336
2015,VTech DS6151,806.336
2015,Global Troy Executive Leather Low-Back Tilter,801.568
2015,Eureka Sanitaire  Commercial Upright,795.408
2015,"Carina 42""Hx23 3/4""W Media Storage Unit",793.604
2015,RCA Visys Integrated PBX 8-Line Router,790.482
2015,Polycom CX300 Desktop Phone USB VoIP phone,779.9480000000001
2015,"Global Geo Office Task Chair, Gray",777.408
2015,Logitech P710e Mobile Speakerphone,772.47
2015,Honeywell Quietcare HEPA Air Cleaner,770.77
2015,DYMO CardScan Personal V9 Business Card Scanner,767.952
2015,AT&T 1080 Corded phone,767.144
2015,Hon Non-Folding Utility Tables,764.688
2015,Global Highback Leather Tilter in Burgundy,764.316
2015,Jawbone JAMBOX Wireless Bluetooth Speaker,758.352
2015,Advantus Rolling Drawer Organizers,754.208
2015,Bush Advantage Collection Round Conference Table,744.1
2015,"Padded Folding Chairs, Black, 4/Carton",736.918
2015,Fellowes Bankers Box Recycled Super Stor/Drawer,734.1279999999999
2015,GBC DocuBind P100 Manual Binding Machine,730.3119999999999
2015,Recycled Steel Personal File for Standard File Folders,718.77
2015,Kensington 7 Outlet MasterPiece Power Center,711.9200000000001
2015,Office Star - Mesh Screen back chair with Vinyl seat,707.2919999999999
2015,"Fellowes Strictly Business Drawer File, Letter/Legal Size",704.25
2015,Enermax Aurora Lite Keyboard,703.3499999999999
2015,"Bevis Traditional Conference Table Top, Plinth Base",700.056
2015,Apple iPhone 5C,699.93
2015,"Safco Chair Connectors, 6/Carton",692.64
2015,"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",688.1700000000001
2015,Star Micronics TSP800 TSP847IIU Receipt Printer,686.32
2015,Tenex Antistatic Computer Chair Mats,683.92
2015,Staple envelope,682.504
2015,"Global High-Back Leather Tilter, Burgundy",676.4449999999999
2015,Holmes Harmony HEPA Air Purifier for 17 x 20 Room,675.12
2015,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,674.352
2015,Hon 4070 Series Pagoda Round Back Stacking Chairs,674.058
2015,Bestar Classic Bookcase,672.9327
2015,Vtech CS6719,671.9300000000001
2015,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88
2015,Hon 2111 Invitation Series Straight Table,665.235
2015,"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base",653.55
2015,Global Super Steno Chair,652.664
2015,Plantronics S12 Corded Telephone Headset System,646.74
2015,Belkin F9G930V10-GRY 9 Outlet Surge,641.76
2015,Multicolor Computer Printout Paper,629.1
2015,Bevis Boat-Shaped Conference Table,629.064
2015,AT&T 1070 Corded Phone,624.3439999999999
2015,"Carina Mini System Audio Rack, Model AR050B",621.488
2015,GE 2-Jack Phone Line Splitter,617.97
2015,Plantronics Voyager Pro Legend,617.97
2015,Xerox 1934,615.78
2015,SAFCO Boltless Steel Shelving,613.656
2015,Geemarc AmpliPOWER60,612.48
2015,Global Executive Mid-Back Manager's Chair,611.058
2015,"Global Fabric Manager's Chair, Dark Gray",605.88
2015,Office Star Flex Back Scooter Chair with Aluminum Finish Frame,605.34
2015,AT&T CL2909,604.752
2015,Ames Color-File Green Diamond Border X-ray Mailers,604.656
2015,"Global Airflow Leather Mesh Back Chair, Black",603.92
2015,WD My Passport Ultra 2TB Portable External Hard Drive,595.0
2015,"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",589.41
2015,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,588.4480000000001
2015,Xerox 1913,588.088
2015,Wi-Ex zBoost YX540 Cellular Phone Signal Booster,583.8
2015,Sensible Storage WireTech Storage Systems,582.036
2015,GE 30522EE2,579.95
2015,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,579.528
2015,Belkin 8 Outlet Surge Protector,573.72
2015,Riverside Furniture Stanwyck Manor Table Series,573.7
2015,Fellowes Bankers Box Stor/Drawer Steel Plus,569.2439999999999
2015,KI Conference Tables,567.12
2015,Fellowes PB200 Plastic Comb Binding Machine,560.967
2015,Canon Imageclass D680 Copier / Fax,559.992
2015,Epson TM-T88V Direct Thermal Printer - Monochrome - Desktop,559.71
2015,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,545.818
2015,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",541.216
2015,Logitech Mobile Speakerphone P710e - speaker phone,539.92
2015,Airmail Envelopes,537.152
2015,ClearSounds CSC500 Amplified Spirit Phone Corded phone,531.924
2015,Balt Split Level Computer Training Table,527.25
2015,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,525.528
